Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
Agricultural Insect Pests and Their Control,V.B. Awasthi,Scientific Publishers,2008,304,Discusses various insect pests affecting agriculture and methods for their control.,"Agriculture, Entomology"
Biotechnology for Biological Control of Pests & Vectors,Karl Maramorosch,Karl Maramorosch,1967,290,"Investigates the use of biotechnology to develop biological control methods for managing pests and vectors, focusing on genetic modifications, microbial agents, and other innovative approaches to enhance pest control.","Biotechnology, Pest Management"
Ecological Engineering for Pest Management,"Geoff M Gurr, Steve D Wratten, Miguel A Altieri",CSIRO,2004,238,Explores the role of ecological engineering in managing pest populations.,"Ecology, Pest Management"
Integrated Pest Management & Bio Control,"S. C. Dwivedi, Nalini Dwivedi","Pointer Publishers,",2006,472,Focuses on integrated pest management strategies and biological control methods.,"Pest Management, Agriculture"
Genetic Improvement of Field Crops,"C.B. Singh, Dhirendra Khare",Scientific Publishers,2015,336,Examines methods and advances in genetic improvement of field crops.,"Agriculture, Genetics"
Biological & Biotechnological Control of Insect Pests,"Jack E. Rechcigl, Nancy A. Rechcigl",CRC Press,2019,392,Discusses biological and biotechnological approaches for controlling insect pests.,"Pest Management, Biotechnology"
Advanced Engineered Pesticides,LEO KIM,Leo Kim,2010-12-10,,"Explores the development and application of advanced engineered pesticides, including novel formulations, targeted delivery systems, and their impact on pest management and environmental safety.","Agriculture, Pest Management"
Integrated Plant Disease Management,R.C. Sharma & J.N. Sharma,Scientific Publishers,2021,362,Looks at strategies for managing plant diseases using integrated approaches.,"Plant Pathology, Agriculture"
Integrated Production & Pest Management of Pests,"K. R. Nair, K R Nair, Dr",ANU E Press,2006-09-01,232,"Focuses on combining various strategies for pest management, integrating biological, chemical, and cultural practices to optimize pest control and promote sustainable agricultural production.","Pest Management, Agriculture"
Eco-friendly & Non-Hazardous Management of Pests,P. C. Triveditribhuwan Singh,Aaviskar,2010,271,Focuses on eco-friendly and non-hazardous methods for pest management.,"Pest Management, Environmental"
Pest Management in Stored Grains,"P Narayansamy, S Mohan",Unknown,2023,,Discusses methods for managing pests in stored grains.,"Agriculture, Pest Management"
Genetic Engineering of Plants for Crop Improvement,Rup Lal,BoD - Books on Demand,2024-01-15,200,"Examines the use of genetic engineering techniques to enhance crop traits, including improved yield, disease resistance, and stress tolerance, with a focus on methodologies and outcomes.","Genetics, Agriculture"
Genetic Evolution and Biological Control,"L. E. Ehler, R. Sforza, T. Mateille",CABI Publishing,2004,260,Examines the relationship between genetic evolution and biological control methods.,"Genetics, Biological Control"
Biopesticides of Plant Origin,Catherine Regnault-Roger,Technique Et Documentation,2005,313,Focuses on biopesticides derived from plants for pest control.,"Biotechnology, Pest Management"
Organic Pest Management Potentials and Applications,P. Narayanasamy,"Safira Patel, R. Narayanaswamy, University of Manchester Institute of Science and Technology. Department of Instrumentation and Analytical Science",2010,2002,"Explores the potential and practical applications of organic pest management strategies, focusing on environmentally friendly methods and their effectiveness in pest control.","Pest Management, Organic Farming"
Integrated Pest Management in the Global Arena,"David Mota-Sanchez, Dona Dakouo, Karim M. Maredia",CABI Publishing,2003,512,Provides a global perspective on integrated pest management practices.,"Pest Management, Global Studies"
Vertebrate Pests in Agriculture,Shakunthala Sridhara,Scientific Publishers,2016,513,Discusses the management of vertebrate pests affecting agriculture.,"Agriculture, Pest Management"
Global Plant Genetic Research of Insect-Resistant Crops,"Stephen L. Clement, Sharron S. Quisenberry",CRC Press,2019,320,Focuses on global research efforts to develop insect-resistant crops through genetic means.,"Genetics, Agriculture"
Glossary of Plant-Derived Insect Deterrents,Martin Jacobson,"Sara Abdollahi, Aya Kanbar, Martin Jacobson",2023,220,"Defines and explains various plant-derived compounds used to deter insects, including their sources, mechanisms of action, and applications in pest management.","Entomology, Botany"
Fumigation for Insect Control,K. R. Nair,"Madhav Krishna Bhaskar Nair, Anju Ghangurde",2013,136,"Covers methods and practices of fumigation for controlling insect pests, detailing techniques, effectiveness, safety considerations, and best practices for application.",Pest Management
Recent Advances in Bio-Pesticides,"Johri, Jayendra: eds.",New India Publishing Agency,2010,338,Covers the latest developments in bio-pesticides.,"Biotechnology, Pest Management"
Advances in Stored Product Protection,"Christos G. Athanassiou, Frank H. Arthur",Springer Berlin Heidelberg,2018,273,Looks at recent advancements in protecting stored products from pests.,"Pest Management, Agriculture"
Immunology,M. P. Arora,India. Supreme Court,2014,402,"Provides a comprehensive overview of the immune system, including its components, functions, and the mechanisms of immune responses, as well as advancements in immunological research and clinical applications.",Immunology
Handbook of Green Energy,"Reza Marandi, Mohammed Reza",SBS Publishers & Distributors,2009,718,Provides comprehensive coverage of green energy sources and technologies.,"Energy, Environmental"
Seed Science and Technology,"Devendra K. Yadava, Malavika Dadlani",Springer Nature Singapore,2012,430,Discusses the science and technology behind seed production and management.,"Agriculture, Seed Science"
Seeds Bioregulates and Applied Plant Biotechnology,"K. K. Bora, Karan Singh",Pointer Publishers,2006,355,"Explores the role of seeds as bioregulators and their application in plant biotechnology, focusing on how seed-based technologies can enhance crop growth, development, and resilience.","Biotechnology, Agriculture"
Seed Technology and Seed Pathology,"Dr. Tribhuwan Singh, Kailash Agrawal",Pointer Publishers,2001,498,Focuses on seed technology and the pathology associated with seeds.,"Seed Science, Plant Pathology"
Biology Conservation and Culture of Orchids,Suraj Parkash Vij,Orchid Society of India,1986,492,Covers the conservation and cultural practices related to orchids.,"Botany, Conservation"
Tree Breeding Principles and Strategies,"G. Namkoong, H. C. Kang, J. S. Brouard",Springer New York,2012,180,Discusses principles and strategies for tree breeding.,"Forestry, Plant Breeding"
India's Forests: Myth and Reality,J. B. Lal,Natraj Publishers,1989,304,"Examines the contrasting perceptions and realities of India's forests, addressing myths, conservation issues, and the true state of forest management and biodiversity in the country.","Environmental Studies, Forestry"
"India's Forests: Soil, Water, and Bio-environment",Sheelwant Patel,Pointer Publishers,2005,204,"Discusses the soil, water, and bio-environmental aspects of India’s forests.","Environmental Studies, Forestry"
Rattan: Current Research Issues and Prospects for Conservation & Sustainable Development,John Et Al Eds Dransfield,"Cornell University. Libraries, Cornell University. Libraries. John M. Echols Collection on Southeast Asia",1998,438,"Discusses current research, conservation challenges, and sustainable development prospects for rattan, focusing on its ecological and economic significance.","Environmental Science, Conservation"
Horticultural Principles and Practices,George Acquaah,Pearson Prentice Hall,2005,822,"Covers fundamental principles and practical approaches in horticulture, including plant care, cultivation techniques, and management practices for diverse horticultural crops.","Horticulture, Agriculture"
Encyclopedia of Exotic Plants for Temperate Climates,Will Giles,Timber Press,2007,440,"Offers an extensive reference on exotic plants suited for temperate climates, including details on their characteristics, cultivation requirements, and landscape applications.","Botany, Reference"
Agro-Animal Resources of Higher Himalayan,"Deepa H. Dwivedi, Sanjai Kumar Dwivedi, Sandhya Gupta",Satish Serial Publishing House,2010,551,Covers the agro-animal resources available in the higher Himalayan regions.,"Agriculture, Animal Science"
Insect Movements: Mechanisms and Consequences,"I. P. Woiwod, D. R. Reynolds, C. D. Thomas",CAB International,2001,468,Examines the mechanisms and consequences of insect movements.,"Entomology, Ecology"
Insect Conservation,Michael J. Samways,CAB International,2019,46,"explores the crucial roles of insects, the threats they face, and effective strategies for their protection, blending scientific insight with actionable steps for readers.","Entomology, Conservation"
Insect Pharmacology,"Lawrence I. Gilbert, Sarjeet S. Gill",Elsevier Science,2010,392,Covers the pharmacological aspects of insect biology.,"Entomology, Pharmacology"
